OTU	Test-Statistic	P	FDR_P	Bonferroni_P	6.63_mean	3.57_mean	6.5_mean	5.3_mean	8.5_mean	5.5_mean	5.6_mean	6.94_mean	4.9_mean	4.89_mean	5_mean	6_mean	9_mean	8_mean	6.56_mean	5.93_mean	6.76_mean	7.08_mean	4.67_mean	5.74_mean	5.7_mean	6.25_mean	5.82_mean	4.94_mean
k__Bacteria;p__Chlorobi	29.51479235	0.16384303	0.432102562	1	0.002491944	0	0.000840413	0.000105042	0.000868092	0.001502272	0.000746394	0.001717345	0	0.000515445	0.000706928	0.000354108	0.000700207	0.000424045	0.001119105	0.002241315	0.000467963	0.001788909	0	0.0021398	0.001961212	0.001099983	0.001746792	5.18E-05
k__Bacteria;p__WS3	29.4085662	0.167143255	0.432102562	1	0.009699248	0	0.005315284	0.00210084	0.006160111	0.008358864	0.003533946	0.012779069	0	0.004823092	0.003697206	0.000354108	0.007302188	0.00373024	0.013908873	0.006830674	0.002282903	0.01013715	0	0.004531585	0.002737525	0.011520871	0.007746957	0.00404384
k__Bacteria;p__FBP	29.08951709	0.177360275	0.432102562	1	0	0	3.45E-05	0.000210084	0.000172553	5.77E-05	0.000228488	0	0	7.36E-05	5.94E-05	0	3.64E-05	6.00E-05	0	5.34E-05	6.32E-06	0	0	0	8.17E-05	0	8.15E-05	1.73E-05
k__Bacteria;p__Chloroflexi	28.50156863	0.197407138	0.432102562	1	0.034070892	0.001411308	0.028990023	0.031932773	0.036486963	0.018129378	0.032567137	0.064501465	0.00617284	0.017156953	0.028815293	0.002832861	0.028602508	0.024600492	0.042206235	0.024067453	0.034278306	0.031127013	0.026315789	0.0330237	0.022267923	0.050251838	0.030112196	0.017108747
k__Bacteria;p__Acidobacteria	28.48405229	0.198028949	0.432102562	1	0.170128894	0.544103378	0.172356414	0.121743697	0.141430864	0.176043154	0.183460525	0.224063037	0.058641975	0.270129966	0.185468488	0.013456091	0.202333729	0.191210693	0.254836131	0.189177651	0.15228879	0.188431723	0.111842105	0.127012431	0.1817798	0.208533549	0.200322386	0.182804735
k__Bacteria;p__Cyanobacteria	28.2660632	0.205887412	0.432102562	1	0.002631579	0.003484167	0.002866333	0.005252101	0.00203607	0.001684847	0.003092202	0.001565815	0	0.003608115	0.001976572	0.004603399	0.002006479	0.002286471	0.003916867	0.002081221	0.001739053	0.00202743	0.013157895	0.007679322	0.004439965	0.002547328	0.004186003	0.003041587
k__Bacteria;p__OP11	28.11238216	0.2115617	0.432102562	1	0.000107411	0	2.59E-06	0	1.48E-05	1.25E-05	1.52E-05	0.000202041	0	0	1.02E-06	0	5.80E-06	1.19E-05	0	0.000106729	7.59E-05	0	0	0	0	0	0.000121543	0
k__Bacteria;p__OD1	28.11015617	0.211644706	0.432102562	1	0.000590763	8.82E-05	2.53E-05	0.000210084	5.06E-05	2.53E-05	0	0.000505102	0	0.00206178	6.60E-05	0	6.81E-05	4.87E-05	0.00039968	0.000266823	0.000411049	0.000238521	0.013157895	0.000713267	0	0.001273664	0.00049538	0.000224672
k__Bacteria;p__FCPU426	28.09896365	0.212062427	0.432102562	1	9.67E-05	0.00626268	0	0.000210084	1.48E-05	5.73E-05	0	0	0	0.002577225	0.000167173	0	1.02E-05	0.000125473	0.000159872	0.000266823	0	0	0	0.000713267	0	0.000347363	0.000194984	0.00020739
k__Bacteria;p__TM7	27.99287209	0.216051281	0.432102562	1	0.000236305	0.000992326	0.000184046	0.00052521	3.68E-05	0.000104357	3.05E-05	0.000454591	0	0.000773167	0.000136363	0	0.000103904	0.000105225	0.000159872	0.000373552	0.000284572	0.000119261	0	0	2.72E-05	5.79E-05	0.000335532	0.00020739
k__Bacteria;p__Elusimicrobia	27.16730967	0.248913611	0.480660766	1	0.00406015	2.21E-05	0.002028672	0.000735294	0.001290516	0.002042004	0.002665692	0.002373977	0.00308642	0.003571297	0.001839297	0	0.001849522	0.00122862	0.001998401	0.003628796	0.000853717	0.001788909	0	0.0021398	0.002097407	0.003763098	0.003512327	0.001002385
k__Bacteria;p__Armatimonadetes	26.91813272	0.25946748	0.484339297	1	0.001235231	0.000970274	0.000637306	0.003151261	0.000979951	0.000626759	0.000578836	0.002272957	0.00617284	0.005301719	0.000888973	0	0.00093501	0.000653465	0.001598721	0.00298842	0.001150937	0.001908169	0	0.000356633	0.000354108	0.002547328	0.002922183	0.002609657
k__Bacteria;p__SR1	25.9287335	0.304242127	0.526594667	1	2.15E-05	0	0	0	5.04E-06	4.33E-06	0	0	0	0	8.04E-06	0	0	0	7.99E-05	0	6.32E-06	0.000119261	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes	25.79738562	0.310524113	0.526594667	1	0.093856069	0.008952986	0.086706844	0.094012605	0.100780121	0.124920451	0.088851315	0.077432064	0.064814815	0.082802548	0.082314397	0.098441926	0.067282976	0.068507518	0.050359712	0.078712845	0.072744541	0.069648181	0.111842105	0.091733266	0.150931576	0.110171945	0.068456274	0.054868091
k__Bacteria;p__Kazan-3B-28	25.39557948	0.330217023	0.526594667	1	0	0	0	0	0	0	0	0	0	0	0	0	1.02E-06	0	0	5.34E-05	0	0	0	0	0	0	3.51E-05	0
k__Archaea;p__[Parvarchaeota]	25.25789824	0.337126604	0.526594667	1	2.15E-05	0	1.09E-05	0	3.01E-05	1.46E-05	0	0.00010102	0	3.68E-05	3.12E-06	0	2.51E-05	3.12E-05	0	0	0	0	0	0	4.09E-05	0	1.76E-05	0
k__Archaea;p__Euryarchaeota	25.12003197	0.344126281	0.526594667	1	1.07E-05	0	0	0	0.000129216	1.05E-05	6.09E-05	0	0	0	0	0	2.81E-06	2.83E-06	0	0	0	0	0	0	2.72E-05	0	2.88E-05	0
k__Bacteria;p__SBR1093	24.99885666	0.350344292	0.526594667	1	0	0	1.23E-05	0	8.15E-06	0	4.57E-05	0	0.00308642	0	5.28E-06	0	4.21E-05	0	0	0	0	0.000119261	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria	24.92150327	0.354345343	0.526594667	1	0.162373792	0.103422422	0.159745746	0.211764706	0.169521739	0.106596237	0.146475955	0.156025861	0.114197531	0.105334855	0.166056602	0.008498584	0.12858126	0.119954238	0.135251799	0.100112066	0.134601886	0.120691711	0.052631579	0.12158169	0.112047832	0.152608117	0.120245287	0.083194639
k__Bacteria;p__Firmicutes	24.81039216	0.360135161	0.526594667	1	0.006423201	0.015480286	0.008931934	0.12605042	0.012235258	0.006994436	0.011805206	0.004394383	0.398148148	0.010124811	0.013081458	0.803824363	0.012186464	0.012129107	0.007993605	0.062276536	0.093273988	0.007394156	0.355263158	0.191305581	0.010582371	0.010131419	0.022266456	0.0523955
k__Bacteria;p__NKB19	24.53151654	0.374883599	0.526594667	1	1.07E-05	0	1.13E-05	0	0.000150424	4.15E-05	7.62E-05	0.00010102	0	0	2.43E-05	0	1.76E-05	2.66E-05	7.99E-05	0	5.06E-05	0	0	0	0	0	0	0
k__Bacteria;p__Verrucomicrobia	24.50803922	0.376139048	0.526594667	1	0.090150376	0.032790862	0.141685436	0.061554622	0.094530744	0.146018238	0.125531234	0.085109607	0.021604938	0.15069401	0.122062048	0.011685552	0.118758676	0.112864344	0.107593925	0.151555579	0.064681694	0.095766249	0.019736842	0.105343167	0.13159185	0.075204076	0.133050975	0.158337489
k__Bacteria;p__[Thermi]	24.23822715	0.390716587	0.533661679	1	0	2.21E-05	3.09E-06	0	2.52E-06	3.61E-07	0	0	0	0	2.37E-06	0	0	3.96E-06	0	0	0	0	0.006578947	0	0	0	0	0
k__Bacteria;p__WS5	24	0.403808444	0.538411259	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76E-05	0
k__Bacteria;p__TM6	23.5182751	0.430870151	0.550052818	1	0.000247046	0.000705654	0.000475389	0.000210084	0.00070118	0.000768049	0.000502673	0.000404081	0	0.000920437	0.000452949	0	0.000627713	0.000900331	0.000479616	0.000160094	0.000170743	0.000238521	0	0.000965251	0.000394966	0.000578938	0.00021572	0.000639452
k__Bacteria;p__GAL15	23.49521091	0.432184357	0.550052818	1	2.15E-05	0	1.18E-05	0	8.74E-06	0	0	0	0	0	8.31E-06	0	1.93E-05	1.98E-05	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Planctomycetes	22.16529412	0.510292518	0.635030689	1	0.042663802	0.037487872	0.042775098	0.032247899	0.046264326	0.043763284	0.04368688	0.067885645	0.012345679	0.045211885	0.042714674	0.004603399	0.044686583	0.044552161	0.063069544	0.046267143	0.052041133	0.055575432	0.013157895	0.038625185	0.051182175	0.046662421	0.043943638	0.058499405
k__Bacteria;p__NC10	21.18689588	0.56967505	0.687760708	1	0	0	0	0	1.18E-05	0	0	0	0	0	0	0	7.42E-06	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__PAUC34f	20.89685463	0.587386507	0.687760708	1	1.07E-05	0	0	0	0	0	0	0	0	0	0	0	6.64E-06	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria	20.8620915	0.589509178	0.687760708	1	0.326423201	0.177957132	0.273237771	0.285294118	0.297859093	0.306806852	0.260613261	0.263764017	0.299382716	0.274953058	0.286421533	0.043909348	0.295117602	0.340709328	0.274660272	0.292651689	0.366913096	0.381991652	0.269736842	0.246539692	0.268086729	0.29774793	0.316390232	0.354754867
k__Bacteria;p__GN04	18.92018057	0.705847663	0.806683044	1	0	0	0	0	1.38E-05	0	0	0	0	0	0	0	1.33E-05	3.96E-06	0	0	0	0	0	0.000965251	0	0	0	0
k__Bacteria;p__Fusobacteria	18.37183145	0.73701976	0.825462132	1	0	0	2.16E-05	0	2.52E-06	0	0	0	0.00308642	0	8.92E-06	0	1.29E-06	3.96E-06	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__AC1	15.66666667	0.869162562	0.93602122	1	0	0	0	0	2.52E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__GOUTA4	15.66666667	0.869162562	0.93602122	1	0	0	0	0	4.29E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__WS1	12.93112245	0.953467727	0.999988202	1	0	0	0	0	5.04E-06	1.81E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__WS4	10.54176506	0.987395618	0.999988202	1	0	0	0	0	2.77E-05	0	0	0	0	0	0	0	1.37E-06	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Lentisphaerae	4.555555556	0.999988202	0.999988202	1	0	0	0	0	0	0	0	0	0	0	0	0	1.03E-06	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__OP8	4.555555556	0.999988202	0.999988202	1	0	0	0	0	0	0	0	0	0	0	0	0	1.26E-06	0	0	0	0	0	0	0	0	0	0	0
